model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 0.001",0.81,0.81,0.62,0.62,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 1.0",0.81,0.81,0.62,0.62,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 2.5",0.81,0.81,0.62,0.62,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 0.001",0.77,0.73,0.51,0.47,lowest of its class,lowest of its class
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1.0",0.81,0.81,0.62,0.62,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 2.5",0.81,0.81,0.62,0.62,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 0.001",0.82,0.83,0.75,0.72,highest of its class,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1.0",0.82,0.83,0.75,0.72,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 2.5",0.82,0.83,0.75,0.72,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 0.001",0.8,0.82,0.78,0.74,-,highest of its class
LogisticRegression,"fit_intercept: True, penalty: l2, C: 1.0",0.82,0.83,0.75,0.72,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 2.5",0.82,0.83,0.75,0.72,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.71,0.64,0.2,0.22,-,lowest of its class
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.75,0.65,0.43,0.34,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.82,0.85,0.78,0.78,highest of its class,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.63,0.66,0.27,0.2,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.35,0.34,0.25,0.25,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.61,0.67,0.34,0.4,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.76,0.76,1.0,0.0,-,highest of its class
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.24,0.25,0.23,0.24,lowest of its class,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.82,0.84,0.74,0.76,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.71,0.64,0.2,0.22,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.75,0.65,0.43,0.34,-,-
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.82,0.86,0.77,0.78,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.29,0.33,0.25,0.26,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.66,0.53,0.34,0.32,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.76,0.58,0.48,0.35,-,-
