model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 0.001, fit_intercept: False, penalty: none",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"C: 0.001, fit_intercept: False, penalty: l2",0.79,0.79,0.58,0.58,lowest of its class,lowest of its class
LogisticRegression,"C: 0.001, fit_intercept: True, penalty: none",0.82,0.82,0.71,0.71,highest of its class,-
LogisticRegression,"C: 0.001, fit_intercept: True, penalty: l2",0.81,0.81,0.77,0.77,-,highest of its class
LogisticRegression,"C: 1.0, fit_intercept: False, penalty: none",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"C: 1.0, fit_intercept: False, penalty: l2",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"C: 1.0, fit_intercept: True, penalty: none",0.82,0.82,0.71,0.71,-,-
LogisticRegression,"C: 1.0, fit_intercept: True, penalty: l2",0.82,0.82,0.71,0.71,-,-
LogisticRegression,"C: 2.5, fit_intercept: False, penalty: none",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"C: 2.5, fit_intercept: False, penalty: l2",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"C: 2.5, fit_intercept: True, penalty: none",0.82,0.82,0.71,0.71,-,-
LogisticRegression,"C: 2.5, fit_intercept: True, penalty: l2",0.82,0.82,0.71,0.71,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.55,0.55,0.24,0.24,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.58,0.59,0.29,0.3,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.84,0.85,0.77,0.79,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.45,0.45,0.26,0.26,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.49,0.5,0.29,0.29,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.81,0.81,0.79,0.8,-,highest of its class
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.34,0.34,0.22,0.24,-,lowest of its class
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.24,0.24,0.23,0.23,lowest of its class,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.83,0.84,0.78,0.81,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.55,0.55,0.24,0.24,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.57,0.58,0.28,0.28,-,-
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.84,0.85,0.76,0.79,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.45,0.45,0.26,0.26,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.46,0.46,0.28,0.27,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.82,0.82,0.69,0.69,-,-
SVC,"C: 1, kernel: poly, max_iter: 1",0.34,0.34,0.22,0.24,-,-
SVC,"C: 1, kernel: poly, max_iter: 100",0.26,0.26,0.24,0.24,-,-
SVC,"C: 1, kernel: poly, max_iter: 10000",0.83,0.84,0.77,0.81,-,-
SVC,"C: 10, kernel: rbf, max_iter: 1",0.44,0.44,0.25,0.25,-,-
SVC,"C: 10, kernel: rbf, max_iter: 100",0.55,0.56,0.27,0.28,-,-
SVC,"C: 10, kernel: rbf, max_iter: 10000",0.85,0.87,0.74,0.81,highest of its class,-
SVC,"C: 10, kernel: linear, max_iter: 1",0.4,0.4,0.26,0.26,-,-
SVC,"C: 10, kernel: linear, max_iter: 100",0.47,0.47,0.27,0.27,-,-
SVC,"C: 10, kernel: linear, max_iter: 10000",0.54,0.54,0.27,0.27,-,-
SVC,"C: 10, kernel: poly, max_iter: 1",0.34,0.34,0.22,0.24,-,-
SVC,"C: 10, kernel: poly, max_iter: 100",0.3,0.3,0.24,0.24,-,-
SVC,"C: 10, kernel: poly, max_iter: 10000",0.84,0.85,0.66,0.7,-,-
SVC,"C: 20, kernel: rbf, max_iter: 1",0.4,0.4,0.26,0.26,-,-
SVC,"C: 20, kernel: rbf, max_iter: 100",0.64,0.64,0.34,0.34,-,-
SVC,"C: 20, kernel: rbf, max_iter: 10000",0.84,0.88,0.73,0.82,-,-
SVC,"C: 20, kernel: linear, max_iter: 1",0.4,0.4,0.26,0.26,-,-
SVC,"C: 20, kernel: linear, max_iter: 100",0.42,0.42,0.24,0.24,-,-
SVC,"C: 20, kernel: linear, max_iter: 10000",0.46,0.45,0.27,0.26,-,-
SVC,"C: 20, kernel: poly, max_iter: 1",0.34,0.34,0.22,0.24,-,-
SVC,"C: 20, kernel: poly, max_iter: 100",0.29,0.29,0.24,0.24,-,-
SVC,"C: 20, kernel: poly, max_iter: 10000",0.75,0.76,0.48,0.49,-,-
