model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"penalty: l2, fit_intercept: False, C: 0.001",0.79,0.79,0.58,0.58,lowest of its class,lowest of its class
LogisticRegression,"penalty: none, fit_intercept: True, C: 2.5",0.82,0.82,0.71,0.71,highest of its class,-
LogisticRegression,"penalty: l2, fit_intercept: True, C: 2.5",0.82,0.82,0.71,0.71,-,-
LogisticRegression,"penalty: l2, fit_intercept: False, C: 2.5",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"penalty: none, fit_intercept: False, C: 0.001",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"penalty: none, fit_intercept: False, C: 2.5",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"penalty: l2, fit_intercept: False, C: 1.0",0.81,0.81,0.64,0.64,-,-
LogisticRegression,"penalty: none, fit_intercept: True, C: 0.001",0.82,0.82,0.71,0.71,-,-
LogisticRegression,"penalty: l2, fit_intercept: True, C: 0.001",0.81,0.81,0.77,0.77,-,highest of its class
LogisticRegression,"penalty: l2, fit_intercept: True, C: 1.0",0.82,0.82,0.71,0.71,-,-
SVC,"max_iter: 10000, kernel: poly, C: 10",0.84,0.85,0.66,0.7,highest of its class,-
SVC,"max_iter: 1, kernel: poly, C: 10",0.34,0.34,0.22,0.24,lowest of its class,lowest of its class
SVC,"max_iter: 10000, kernel: linear, C: 1",0.82,0.82,0.69,0.69,-,-
SVC,"max_iter: 1, kernel: poly, C: 20",0.34,0.34,0.22,0.24,-,-
SVC,"max_iter: 100, kernel: rbf, C: 0.5",0.58,0.59,0.29,0.3,-,-
SVC,"max_iter: 100, kernel: linear, C: 20",0.42,0.42,0.24,0.24,-,-
SVC,"max_iter: 1, kernel: linear, C: 0.5",0.45,0.45,0.26,0.26,-,-
SVC,"max_iter: 10000, kernel: rbf, C: 0.5",0.84,0.85,0.77,0.79,-,highest of its class
SVC,"max_iter: 100, kernel: rbf, C: 1",0.57,0.58,0.28,0.28,-,-
SVC,"max_iter: 10000, kernel: linear, C: 20",0.46,0.45,0.27,0.26,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 20, criterion: entropy",0.82,0.94,0.64,0.9,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 1, criterion: entropy",0.76,0.76,0.0,0.0,lowest of its class,lowest of its class
DecisionTreeClassifier,"splitter: random, max_depth: 5, criterion: gini",0.82,0.82,0.69,0.7,-,-
DecisionTreeClassifier,"splitter: random, max_depth: 5, criterion: entropy",0.82,0.82,0.65,0.65,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 11, criterion: entropy",0.85,0.88,0.74,0.83,highest of its class,highest of its class
DecisionTreeClassifier,"splitter: random, max_depth: 20, criterion: entropy",0.83,0.92,0.65,0.87,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 5, criterion: entropy",0.84,0.85,0.73,0.74,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 5, criterion: gini",0.84,0.85,0.73,0.74,-,-
DecisionTreeClassifier,"splitter: random, max_depth: 1, criterion: entropy",0.76,0.76,0.0,0.0,-,-
DecisionTreeClassifier,"splitter: random, max_depth: 11, criterion: gini",0.84,0.86,0.72,0.79,-,-
RandomForestClassifier,"n_estimators: 500, max_depth: 15, criterion: entropy",0.86,0.91,0.79,0.88,highest of its class,-
RandomForestClassifier,"n_estimators: 100, max_depth: 15, criterion: entropy",0.86,0.91,0.78,0.88,-,-
RandomForestClassifier,"n_estimators: 500, max_depth: 12, criterion: entropy",0.86,0.88,0.8,0.85,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 4, criterion: gini",0.84,0.84,0.84,0.85,lowest of its class,highest of its class
RandomForestClassifier,"n_estimators: 500, max_depth: 15, criterion: gini",0.86,0.92,0.78,0.9,-,-
RandomForestClassifier,"n_estimators: 500, max_depth: 12, criterion: gini",0.86,0.89,0.8,0.86,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 12, criterion: gini",0.86,0.89,0.79,0.86,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 9, criterion: entropy",0.86,0.87,0.8,0.82,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 4, criterion: entropy",0.84,0.84,0.83,0.84,-,-
RandomForestClassifier,"n_estimators: 3, max_depth: 12, criterion: gini",0.85,0.88,0.73,0.82,-,lowest of its class
KNeighborsClassifier,n_neighbors: 2,0.82,0.9,0.7,1.0,lowest of its class,highest of its class
KNeighborsClassifier,n_neighbors: 10,0.83,0.86,0.69,0.77,highest of its class,-
KNeighborsClassifier,n_neighbors: 27,0.83,0.84,0.68,0.71,-,-
KNeighborsClassifier,n_neighbors: 200,0.82,0.82,0.66,0.67,-,lowest of its class
KNeighborsClassifier,n_neighbors: 500,0.82,0.82,0.7,0.7,-,-
AdaBoostClassifier,"n_estimators: 3, learning_rate: 0.5, algorithm: SAMME",0.8,0.8,0.94,0.94,-,-
AdaBoostClassifier,"n_estimators: 96, learning_rate: 0.5, algorithm: SAMME",0.85,0.85,0.78,0.79,highest of its class,-
AdaBoostClassifier,"n_estimators: 8, learning_rate: 1, algorithm: SAMME.R",0.85,0.85,0.77,0.77,-,-
AdaBoostClassifier,"n_estimators: 7, learning_rate: 0.1, algorithm: SAMME.R",0.8,0.8,0.96,0.96,-,highest of its class
AdaBoostClassifier,"n_estimators: 5, learning_rate: 0.5, algorithm: SAMME",0.8,0.8,0.95,0.95,-,-
AdaBoostClassifier,"n_estimators: 6, learning_rate: 0.1, algorithm: SAMME",0.76,0.76,0.0,0.0,lowest of its class,lowest of its class
AdaBoostClassifier,"n_estimators: 7, learning_rate: 0.5, algorithm: SAMME.R",0.83,0.84,0.79,0.8,-,-
AdaBoostClassifier,"n_estimators: 7, learning_rate: 1, algorithm: SAMME.R",0.85,0.85,0.77,0.77,-,-
AdaBoostClassifier,"n_estimators: 4, learning_rate: 1, algorithm: SAMME.R",0.84,0.84,0.73,0.74,-,-
AdaBoostClassifier,"n_estimators: 8, learning_rate: 0.1, algorithm: SAMME",0.76,0.76,0.0,0.0,-,-
GaussianNB,var_smoothing: 1e-09,0.81,0.81,0.66,0.66,lowest of its class,lowest of its class
GaussianNB,var_smoothing: 1e-05,0.81,0.81,0.66,0.66,-,-
GaussianNB,var_smoothing: 0.1,0.81,0.81,0.67,0.67,-,highest of its class
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: relu",0.85,0.85,0.74,0.75,highest of its class,highest of its class
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: relu",0.85,0.86,0.73,0.75,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: relu",0.85,0.86,0.71,0.75,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: relu",0.84,0.88,0.71,0.8,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: tanh",0.84,0.84,0.73,0.74,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: tanh",0.85,0.86,0.73,0.75,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: tanh",0.85,0.86,0.71,0.73,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: tanh",0.83,0.89,0.66,0.8,lowest of its class,lowest of its class
