model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,0.87,0.91,0.48,0.49,0.48,0.49,1.38,1.44,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.87,0.91,0.48,0.49,0.48,0.49,1.38,1.44,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.84,0.7,0.49,0.64,0.47,0.63,1.41,1.03,-,-,lowest of its class,-
SVR,"C: 1, gamma: auto, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.48,1.42,1.47,highest of its class,lowest of its class,-,highest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",0.84,0.7,0.49,0.64,0.47,0.63,1.41,1.03,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.48,1.42,1.47,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.81,0.53,0.54,0.76,0.53,0.75,1.25,0.69,lowest of its class,highest of its class,highest of its class,lowest of its class
SVR,"C: 10, gamma: auto, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.47,1.42,1.47,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.81,0.53,0.54,0.76,0.53,0.75,1.25,0.69,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.47,1.42,1.47,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.82,0.47,0.52,0.79,0.52,0.79,1.29,0.59,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.47,1.42,1.47,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.82,0.47,0.52,0.79,0.52,0.79,1.29,0.59,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.87,0.9,0.47,0.48,0.47,0.47,1.42,1.47,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: random",1.09,1.13,0.18,0.21,0.18,0.21,2.2,2.22,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: best",1.1,1.12,0.14,0.22,0.13,0.22,2.31,2.17,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: random",1.1,0.84,0.13,0.54,0.13,0.54,2.32,1.3,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: best",1.01,0.72,0.2,0.66,0.2,0.66,2.14,0.94,lowest of its class,highest of its class,highest of its class,lowest of its class
DecisionTreeRegressor,"max_depth: 10, splitter: random",1.24,0.23,0.1,0.93,0.11,0.93,2.94,0.2,highest of its class,lowest of its class,-,highest of its class
DecisionTreeRegressor,"max_depth: 10, splitter: best",1.09,0.21,0.11,0.94,0.09,0.94,2.43,0.16,-,-,lowest of its class,-
RandomForestRegressor,"max_depth: 1, n_estimators: 1",1.09,1.13,0.15,0.21,0.15,0.21,2.27,2.22,-,lowest of its class,lowest of its class,-
RandomForestRegressor,"max_depth: 1, n_estimators: 10",1.04,1.06,0.19,0.29,0.19,0.29,2.17,1.99,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 100",1.02,1.04,0.23,0.32,0.22,0.32,2.07,1.9,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 1",1.18,0.82,0.18,0.55,0.19,0.55,3.16,1.25,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 10",0.91,0.66,0.34,0.73,0.34,0.73,1.77,0.75,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 100",0.9,0.65,0.37,0.74,0.37,0.74,1.69,0.72,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 1",1.36,0.54,0.42,0.64,0.42,0.64,3.78,1.02,highest of its class,highest of its class,highest of its class,highest of its class
RandomForestRegressor,"max_depth: 10, n_estimators: 10",0.94,0.4,0.3,0.89,0.29,0.89,1.89,0.31,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 100",0.87,0.36,0.39,0.92,0.38,0.92,1.64,0.23,lowest of its class,-,-,lowest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 1",0.98,0.0,0.29,1.0,0.29,1.0,1.89,0.0,highest of its class,lowest of its class,lowest of its class,highest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 5",0.81,0.68,0.46,0.68,0.46,0.68,1.43,0.9,-,-,-,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 10",0.83,0.76,0.48,0.62,0.47,0.62,1.4,1.06,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 1",0.98,0.0,0.29,1.0,0.29,1.0,1.89,0.0,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 5",0.79,0.0,0.49,1.0,0.49,1.0,1.35,0.0,lowest of its class,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 10",0.8,0.0,0.51,1.0,0.51,1.0,1.31,0.0,-,highest of its class,highest of its class,lowest of its class
