model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,0.41,0.5,0.39,0.5,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.41,0.5,0.39,0.5,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.32,0.51,0.28,0.49,-,-
SVR,"C: 1, gamma: auto, kernel: linear",0.4,0.47,0.38,0.47,highest of its class,highest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",0.29,0.55,0.25,0.54,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.4,0.47,0.38,0.47,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.34,0.81,0.29,0.81,-,-
SVR,"C: 10, gamma: auto, kernel: linear",0.4,0.48,0.38,0.47,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.28,0.87,0.22,0.87,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.4,0.48,0.38,0.47,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.27,0.86,0.21,0.86,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.39,0.47,0.38,0.47,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.2,0.93,0.11,0.93,lowest of its class,lowest of its class
SVR,"C: 20, gamma: scale, kernel: linear",0.39,0.47,0.38,0.47,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",-0.48,1.0,-0.5,1.0,lowest of its class,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",-0.13,1.0,-0.19,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",0.12,0.21,0.11,0.21,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",-0.07,0.62,-0.08,0.62,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",0.04,0.04,0.02,0.04,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",-0.02,0.21,-0.05,0.21,-,-
