model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,0.41,0.5,0.39,0.5,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.41,0.5,0.39,0.5,-,-
SVR,"kernel: linear, gamma: scale, C: 1",0.4,0.47,0.38,0.47,highest of its class,highest of its class
SVR,"kernel: rbf, gamma: scale, C: 1",0.29,0.55,0.25,0.54,-,-
SVR,"kernel: rbf, gamma: scale, C: 10",0.28,0.87,0.22,0.87,-,-
SVR,"kernel: rbf, gamma: auto, C: 20",0.27,0.86,0.21,0.86,-,-
SVR,"kernel: rbf, gamma: auto, C: 10",0.34,0.81,0.29,0.81,-,-
SVR,"kernel: rbf, gamma: scale, C: 20",0.2,0.93,0.11,0.93,lowest of its class,lowest of its class
SVR,"kernel: rbf, gamma: auto, C: 1",0.32,0.51,0.28,0.49,-,-
SVR,"kernel: linear, gamma: scale, C: 10",0.4,0.48,0.38,0.47,-,-
SVR,"kernel: linear, gamma: auto, C: 10",0.4,0.48,0.38,0.47,-,-
SVR,"kernel: linear, gamma: auto, C: 1",0.4,0.47,0.38,0.47,-,-
DecisionTreeRegressor,"splitter: best, min_impurity_decrease: 0.1, max_depth: 1000, criterion: absolute_error",0.17,0.19,0.14,0.17,highest of its class,highest of its class
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.5, max_depth: 100, criterion: poisson",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.9, max_depth: 500, criterion: absolute_error",0.0,0.0,-0.03,-0.01,-,-
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.5, max_depth: 1000, criterion: poisson",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.5, max_depth: 500, criterion: squared_error",0.04,0.04,0.02,0.04,-,-
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.1, max_depth: 100, criterion: squared_error",0.12,0.21,0.11,0.21,-,-
DecisionTreeRegressor,"splitter: best, min_impurity_decrease: 0.5, max_depth: 1000, criterion: poisson",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"splitter: random, min_impurity_decrease: 0.9, max_depth: 500, criterion: squared_error",0.0,0.0,-0.02,0.0,-,-
