model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",28.06,27.25,0.9,0.91,0.9,0.9,3311.9,3161.91,highest of its class,lowest of its class,lowest of its class,highest of its class
SVR,"C: 1, gamma: auto, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,lowest of its class,highest of its class,highest of its class,lowest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",28.06,27.25,0.9,0.91,0.9,0.9,3311.9,3161.91,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",7.57,6.71,0.99,0.99,0.99,0.99,318.49,260.02,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",7.57,6.71,0.99,0.99,0.99,0.99,318.49,260.02,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",4.6,3.83,1.0,1.0,1.0,1.0,145.69,105.31,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",4.6,3.83,1.0,1.0,1.0,1.0,145.69,105.31,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.04,0.04,1.0,1.0,1.0,1.0,0.0,0.0,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: random",129.81,130.65,0.22,0.2,0.22,0.2,25847.7,26311.5,highest of its class,lowest of its class,lowest of its class,highest of its class
DecisionTreeRegressor,"max_depth: 1, splitter: best",84.63,84.14,0.65,0.66,0.65,0.66,11530.47,11300.65,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: random",39.38,40.29,0.9,0.89,0.9,0.89,3399.86,3509.77,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: best",15.16,14.48,0.98,0.99,0.98,0.99,541.76,477.0,-,-,-,-
DecisionTreeRegressor,"max_depth: 10, splitter: random",11.62,11.23,0.99,0.99,0.99,0.99,332.96,330.15,-,-,-,-
DecisionTreeRegressor,"max_depth: 10, splitter: best",3.31,2.13,1.0,1.0,1.0,1.0,41.78,11.59,lowest of its class,highest of its class,highest of its class,lowest of its class
RandomForestRegressor,"max_depth: 1, n_estimators: 1",83.58,83.08,0.65,0.65,0.65,0.65,11606.52,11349.36,highest of its class,lowest of its class,lowest of its class,highest of its class
RandomForestRegressor,"max_depth: 1, n_estimators: 10",82.1,81.23,0.67,0.68,0.67,0.68,10968.24,10634.12,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 100",82.34,81.69,0.67,0.67,0.67,0.67,10970.27,10689.32,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 1",15.16,14.69,0.98,0.98,0.98,0.98,558.44,500.84,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 10",10.47,9.82,0.99,0.99,0.99,0.99,265.3,216.82,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 100",9.76,9.24,0.99,0.99,0.99,0.99,225.26,186.18,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 1",3.92,2.74,1.0,1.0,1.0,1.0,66.87,27.24,-,highest of its class,highest of its class,-
RandomForestRegressor,"max_depth: 10, n_estimators: 10",1.76,1.23,1.0,1.0,1.0,1.0,19.57,4.45,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 100",1.36,0.91,1.0,1.0,1.0,1.0,14.24,2.5,lowest of its class,-,-,lowest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 1",34.24,0.0,0.93,1.0,0.93,1.0,2237.66,0.0,highest of its class,lowest of its class,lowest of its class,highest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 5",26.8,21.12,0.96,0.98,0.96,0.97,1322.12,826.63,-,highest of its class,highest of its class,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 10",28.0,24.42,0.96,0.97,0.96,0.97,1374.25,1059.74,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 1",34.24,0.0,0.93,1.0,0.93,1.0,2237.66,0.0,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 5",25.37,0.0,0.96,1.0,0.96,1.0,1213.25,0.0,lowest of its class,-,-,lowest of its class
KNeighborsRegressor,"weights: distance, n_neighbors: 10",26.06,0.0,0.96,1.0,0.96,1.0,1217.19,0.0,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.1",30.26,30.72,0.94,0.94,0.94,0.94,1912.31,1967.8,highest of its class,lowest of its class,lowest of its class,highest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.5",30.26,30.72,0.94,0.94,0.94,0.94,1912.31,1967.8,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 1",30.26,30.72,0.94,0.94,0.94,0.94,1912.31,1967.8,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.1",27.98,27.99,0.95,0.95,0.95,0.95,1623.89,1644.06,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.5",23.24,23.1,0.97,0.97,0.97,0.97,1060.58,1033.68,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 1",22.53,22.27,0.97,0.97,0.97,0.97,860.23,836.63,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.1",26.45,26.62,0.96,0.96,0.96,0.96,1426.27,1465.78,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.5",22.45,22.07,0.97,0.98,0.97,0.97,855.27,828.27,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 1",19.9,19.38,0.98,0.98,0.98,0.98,696.48,644.84,lowest of its class,highest of its class,highest of its class,lowest of its class
GaussianProcessRegressor,alpha: 0.5,24.58,12.55,0.92,0.99,0.91,0.98,3099.32,540.32,lowest of its class,highest of its class,highest of its class,lowest of its class
GaussianProcessRegressor,alpha: 1,30.07,19.18,0.89,0.97,0.88,0.96,4082.1,1309.25,-,-,-,-
GaussianProcessRegressor,alpha: 1.5,34.63,24.42,0.87,0.95,0.85,0.94,4994.95,2114.07,highest of its class,lowest of its class,lowest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 100",4.03,3.97,1.0,1.0,1.0,1.0,30.99,30.83,highest of its class,lowest of its class,lowest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 200",1.07,1.01,1.0,1.0,1.0,1.0,1.98,1.79,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 300",0.43,0.4,1.0,1.0,1.0,1.0,0.31,0.27,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 100",2.56,2.47,1.0,1.0,1.0,1.0,13.37,12.55,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 200",0.72,0.68,1.0,1.0,1.0,1.0,0.91,0.85,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 300",0.29,0.27,1.0,1.0,1.0,1.0,0.16,0.14,lowest of its class,-,-,lowest of its class
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 100",1.91,1.81,1.0,1.0,1.0,1.0,6.52,6.03,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 200",0.57,0.53,1.0,1.0,1.0,1.0,0.54,0.45,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 300",0.33,0.29,1.0,1.0,1.0,1.0,0.19,0.14,-,-,-,-
