model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,1.0,1.0,1.0,1.0,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,1.0,1.0,1.0,1.0,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.64,0.65,0.61,0.61,lowest of its class,lowest of its class
SVR,"C: 1, gamma: auto, kernel: linear",1.0,1.0,1.0,1.0,highest of its class,highest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",0.64,0.65,0.61,0.61,-,-
SVR,"C: 1, gamma: scale, kernel: linear",1.0,1.0,1.0,1.0,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.96,0.96,0.96,0.96,-,-
SVR,"C: 10, gamma: auto, kernel: linear",1.0,1.0,1.0,1.0,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.96,0.96,0.96,0.96,-,-
SVR,"C: 10, gamma: scale, kernel: linear",1.0,1.0,1.0,1.0,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.98,0.98,0.98,0.98,-,-
SVR,"C: 20, gamma: auto, kernel: linear",1.0,1.0,1.0,1.0,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.98,0.98,0.98,0.98,-,-
SVR,"C: 20, gamma: scale, kernel: linear",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",1.0,1.0,1.0,1.0,highest of its class,highest of its class
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",0.99,1.0,0.99,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",0.99,1.0,0.99,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",0.99,1.0,0.99,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: random",0.99,1.0,0.99,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: random",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: best",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: random",1.0,1.0,1.0,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: best",1.0,1.0,1.0,1.0,-,-
