model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 1.0",0.97,0.97,0.92,0.95,lowest of its class,lowest of its class
LogisticRegression,"fit_intercept: False, penalty: none, C: 2.5",0.97,0.97,0.92,0.95,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1.0",0.97,0.97,0.92,0.95,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 2.5",0.97,0.97,0.92,0.95,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1.0",0.98,0.97,0.95,0.96,highest of its class,highest of its class
LogisticRegression,"fit_intercept: True, penalty: none, C: 2.5",0.98,0.97,0.95,0.96,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 1.0",0.98,0.97,0.95,0.96,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 2.5",0.98,0.97,0.95,0.96,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.77,0.76,0.92,0.88,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.97,0.97,0.91,0.95,highest of its class,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.97,0.97,0.91,0.95,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.95,0.95,0.96,0.96,-,highest of its class
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.97,0.97,0.91,0.95,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.97,0.97,0.91,0.95,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.91,0.92,0.96,0.97,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.94,0.96,0.96,0.98,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.94,0.96,0.96,0.98,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.77,0.76,0.92,0.88,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.97,0.97,0.91,0.96,-,-
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.97,0.97,0.91,0.96,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.95,0.95,0.96,0.96,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.97,0.97,0.92,0.95,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.97,0.97,0.91,0.95,-,-
SVC,"C: 1, kernel: poly, max_iter: 1",0.91,0.92,0.96,0.97,-,-
SVC,"C: 1, kernel: poly, max_iter: 100",0.94,0.97,0.96,0.98,-,-
SVC,"C: 1, kernel: poly, max_iter: 10000",0.94,0.97,0.96,0.98,-,-
SVC,"C: 10, kernel: rbf, max_iter: 1",0.97,0.96,0.91,0.9,-,-
SVC,"C: 10, kernel: rbf, max_iter: 100",0.95,0.98,0.92,0.98,-,-
SVC,"C: 10, kernel: rbf, max_iter: 10000",0.95,0.99,0.92,0.98,-,-
SVC,"C: 10, kernel: linear, max_iter: 1",0.97,0.96,0.91,0.9,-,-
SVC,"C: 10, kernel: linear, max_iter: 100",0.12,0.07,0.13,0.09,lowest of its class,lowest of its class
SVC,"C: 10, kernel: linear, max_iter: 10000",0.97,0.97,0.91,0.95,-,-
SVC,"C: 10, kernel: poly, max_iter: 1",0.91,0.92,0.96,0.97,-,-
SVC,"C: 10, kernel: poly, max_iter: 100",0.93,0.98,0.94,0.99,-,-
SVC,"C: 10, kernel: poly, max_iter: 10000",0.93,0.98,0.94,0.99,-,-
SVC,"C: 20, kernel: rbf, max_iter: 1",0.97,0.96,0.91,0.9,-,-
SVC,"C: 20, kernel: rbf, max_iter: 100",0.96,1.0,0.95,0.99,-,-
SVC,"C: 20, kernel: rbf, max_iter: 10000",0.96,0.99,0.95,0.99,-,-
SVC,"C: 20, kernel: linear, max_iter: 1",0.97,0.96,0.91,0.9,-,-
SVC,"C: 20, kernel: linear, max_iter: 100",0.94,0.94,0.89,0.9,-,-
SVC,"C: 20, kernel: linear, max_iter: 10000",0.97,0.97,0.91,0.95,-,-
SVC,"C: 20, kernel: poly, max_iter: 1",0.91,0.92,0.96,0.97,-,-
SVC,"C: 20, kernel: poly, max_iter: 100",0.95,0.98,0.95,0.99,-,-
SVC,"C: 20, kernel: poly, max_iter: 10000",0.94,0.98,0.95,0.99,-,-
DecisionTreeClassifier,"max_depth: 1, splitter: random, criterion: gini",0.9,0.93,0.82,0.86,lowest of its class,lowest of its class
DecisionTreeClassifier,"max_depth: 1, splitter: random, criterion: entropy",0.9,0.93,0.82,0.86,-,-
DecisionTreeClassifier,"max_depth: 1, splitter: best, criterion: gini",0.9,0.93,0.82,0.86,-,-
DecisionTreeClassifier,"max_depth: 1, splitter: best, criterion: entropy",0.9,0.93,0.82,0.86,-,-
DecisionTreeClassifier,"max_depth: 5, splitter: random, criterion: gini",0.94,0.97,0.92,0.94,-,highest of its class
DecisionTreeClassifier,"max_depth: 5, splitter: random, criterion: entropy",0.94,0.98,0.88,0.96,-,-
DecisionTreeClassifier,"max_depth: 5, splitter: best, criterion: gini",0.94,0.99,0.89,0.97,-,-
DecisionTreeClassifier,"max_depth: 5, splitter: best, criterion: entropy",0.94,0.98,0.89,0.96,-,-
DecisionTreeClassifier,"max_depth: 20, splitter: random, criterion: gini",0.93,1.0,0.9,1.0,-,-
DecisionTreeClassifier,"max_depth: 20, splitter: random, criterion: entropy",0.92,1.0,0.88,1.0,-,-
DecisionTreeClassifier,"max_depth: 20, splitter: best, criterion: gini",0.95,1.0,0.9,1.0,-,-
DecisionTreeClassifier,"max_depth: 20, splitter: best, criterion: entropy",0.96,1.0,0.92,1.0,highest of its class,-
RandomForestClassifier,"max_depth: 4, n_estimators: 3, criterion: gini",0.97,0.97,0.92,0.94,highest of its class,lowest of its class
RandomForestClassifier,"max_depth: 4, n_estimators: 3, criterion: entropy",0.97,0.97,0.94,0.94,-,highest of its class
RandomForestClassifier,"max_depth: 4, n_estimators: 100, criterion: gini",0.97,0.98,0.92,0.96,-,-
RandomForestClassifier,"max_depth: 4, n_estimators: 100, criterion: entropy",0.97,0.98,0.92,0.96,-,-
RandomForestClassifier,"max_depth: 4, n_estimators: 500, criterion: gini",0.97,0.98,0.92,0.96,-,-
RandomForestClassifier,"max_depth: 4, n_estimators: 500, criterion: entropy",0.97,0.98,0.92,0.96,-,-
RandomForestClassifier,"max_depth: 9, n_estimators: 3, criterion: gini",0.95,0.99,0.92,0.98,lowest of its class,-
