model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 1.0, fit_intercept: False, penalty: none",0.94,1.0,0.91,1.0,lowest of its class,lowest of its class
LogisticRegression,"C: 1.0, fit_intercept: False, penalty: l2",0.97,0.98,0.96,0.95,highest of its class,-
LogisticRegression,"C: 1.0, fit_intercept: True, penalty: none",0.97,1.0,0.97,1.0,-,highest of its class
LogisticRegression,"C: 1.0, fit_intercept: True, penalty: l2",0.97,0.99,0.96,0.98,-,-
LogisticRegression,"C: 2.5, fit_intercept: False, penalty: none",0.94,1.0,0.91,1.0,-,-
LogisticRegression,"C: 2.5, fit_intercept: False, penalty: l2",0.97,0.98,0.94,0.95,-,-
LogisticRegression,"C: 2.5, fit_intercept: True, penalty: none",0.97,1.0,0.97,1.0,-,-
LogisticRegression,"C: 2.5, fit_intercept: True, penalty: l2",0.97,0.99,0.96,0.98,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.8,0.8,0.94,0.92,lowest of its class,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.97,0.98,0.94,0.94,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.97,0.98,0.94,0.94,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.97,0.97,0.93,0.94,-,lowest of its class
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.98,0.99,0.97,0.97,highest of its class,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.98,0.99,0.97,0.97,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.91,0.92,0.97,0.95,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.91,0.94,0.98,1.0,-,highest of its class
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.91,0.94,0.98,1.0,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.8,0.8,0.94,0.92,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.98,0.99,0.96,0.97,-,-
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.98,0.99,0.96,0.97,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.97,0.97,0.93,0.94,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.97,0.99,0.97,0.98,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.97,0.99,0.97,0.98,-,-
SVC,"C: 1, kernel: poly, max_iter: 1",0.91,0.92,0.97,0.95,-,-
SVC,"C: 1, kernel: poly, max_iter: 100",0.93,0.95,0.98,1.0,-,-
SVC,"C: 1, kernel: poly, max_iter: 10000",0.93,0.95,0.98,1.0,-,-
SVC,"C: 10, kernel: rbf, max_iter: 1",0.97,0.97,0.93,0.94,-,-
SVC,"C: 10, kernel: rbf, max_iter: 100",0.97,1.0,0.97,1.0,-,-
SVC,"C: 10, kernel: rbf, max_iter: 10000",0.97,1.0,0.97,1.0,-,-
SVC,"C: 10, kernel: linear, max_iter: 1",0.97,0.97,0.93,0.94,-,-
SVC,"C: 10, kernel: linear, max_iter: 100",0.96,1.0,0.97,1.0,-,-
SVC,"C: 10, kernel: linear, max_iter: 10000",0.96,1.0,0.97,1.0,-,-
SVC,"C: 10, kernel: poly, max_iter: 1",0.94,0.94,0.94,0.92,-,-
SVC,"C: 10, kernel: poly, max_iter: 100",0.94,1.0,0.97,1.0,-,-
SVC,"C: 10, kernel: poly, max_iter: 10000",0.94,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: rbf, max_iter: 1",0.97,0.97,0.93,0.94,-,-
SVC,"C: 20, kernel: rbf, max_iter: 100",0.97,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: rbf, max_iter: 10000",0.97,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: linear, max_iter: 1",0.97,0.97,0.93,0.94,-,-
SVC,"C: 20, kernel: linear, max_iter: 100",0.96,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: linear, max_iter: 10000",0.97,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: poly, max_iter: 1",0.95,0.94,0.94,0.92,-,-
SVC,"C: 20, kernel: poly, max_iter: 100",0.94,1.0,0.97,1.0,-,-
SVC,"C: 20, kernel: poly, max_iter: 10000",0.94,1.0,0.97,1.0,-,-
DecisionTreeClassifier,"criterion: gini, max_depth: 1, splitter: random",0.86,0.92,0.83,0.89,lowest of its class,lowest of its class
DecisionTreeClassifier,"criterion: gini, max_depth: 1, splitter: best",0.87,0.93,0.84,0.91,-,-
DecisionTreeClassifier,"criterion: gini, max_depth: 5, splitter: random",0.93,0.99,0.93,1.0,-,highest of its class
DecisionTreeClassifier,"criterion: gini, max_depth: 5, splitter: best",0.95,1.0,0.93,1.0,highest of its class,-
DecisionTreeClassifier,"criterion: gini, max_depth: 20, splitter: random",0.91,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"criterion: gini, max_depth: 20, splitter: best",0.95,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"criterion: entropy, max_depth: 1, splitter: random",0.86,0.92,0.83,0.89,-,-
DecisionTreeClassifier,"criterion: entropy, max_depth: 1, splitter: best",0.87,0.93,0.84,0.91,-,-
