model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"penalty: none, fit_intercept: False, C: 1.0",0.94,1.0,0.91,1.0,lowest of its class,lowest of its class
LogisticRegression,"penalty: l2, fit_intercept: False, C: 1.0",0.97,0.98,0.96,0.95,highest of its class,-
LogisticRegression,"penalty: none, fit_intercept: True, C: 1.0",0.97,1.0,0.97,1.0,-,highest of its class
LogisticRegression,"penalty: l2, fit_intercept: True, C: 1.0",0.97,0.99,0.96,0.98,-,-
LogisticRegression,"penalty: none, fit_intercept: False, C: 2.5",0.94,1.0,0.91,1.0,-,-
LogisticRegression,"penalty: l2, fit_intercept: False, C: 2.5",0.97,0.98,0.94,0.95,-,-
LogisticRegression,"penalty: none, fit_intercept: True, C: 2.5",0.97,1.0,0.97,1.0,-,-
LogisticRegression,"penalty: l2, fit_intercept: True, C: 2.5",0.97,0.99,0.96,0.98,-,-
SVC,"max_iter: 10000, kernel: poly, C: 10",0.94,1.0,0.97,1.0,-,-
SVC,"max_iter: 100, kernel: rbf, C: 1",0.98,0.99,0.96,0.97,highest of its class,-
SVC,"max_iter: 100, kernel: poly, C: 1",0.93,0.95,0.98,1.0,lowest of its class,highest of its class
SVC,"max_iter: 100, kernel: poly, C: 20",0.94,1.0,0.97,1.0,-,-
SVC,"max_iter: 100, kernel: rbf, C: 10",0.97,1.0,0.97,1.0,-,-
SVC,"max_iter: 1, kernel: rbf, C: 20",0.97,0.97,0.93,0.94,-,lowest of its class
SVC,"max_iter: 10000, kernel: rbf, C: 0.5",0.97,0.98,0.94,0.94,-,-
SVC,"max_iter: 1, kernel: poly, C: 20",0.95,0.94,0.94,0.92,-,-
SVC,"max_iter: 10000, kernel: linear, C: 10",0.96,1.0,0.97,1.0,-,-
SVC,"max_iter: 1, kernel: linear, C: 20",0.97,0.97,0.93,0.94,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 1, criterion: entropy",0.87,0.93,0.84,0.91,-,-
DecisionTreeClassifier,"splitter: random, max_depth: 1, criterion: entropy",0.86,0.92,0.83,0.89,lowest of its class,lowest of its class
DecisionTreeClassifier,"splitter: best, max_depth: 5, criterion: entropy",0.94,1.0,0.93,1.0,-,highest of its class
DecisionTreeClassifier,"splitter: random, max_depth: 1, criterion: gini",0.86,0.92,0.83,0.89,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 20, criterion: entropy",0.94,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"splitter: random, max_depth: 20, criterion: entropy",0.93,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 5, criterion: gini",0.95,1.0,0.93,1.0,highest of its class,-
DecisionTreeClassifier,"splitter: random, max_depth: 5, criterion: entropy",0.94,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 20, criterion: gini",0.95,1.0,0.93,1.0,-,-
DecisionTreeClassifier,"splitter: best, max_depth: 1, criterion: gini",0.87,0.93,0.84,0.91,-,-
RandomForestClassifier,"n_estimators: 3, max_depth: 9, criterion: entropy",0.94,1.0,0.92,1.0,lowest of its class,-
RandomForestClassifier,"n_estimators: 500, max_depth: 4, criterion: entropy",0.98,0.99,0.96,0.98,highest of its class,highest of its class
RandomForestClassifier,"n_estimators: 100, max_depth: 4, criterion: entropy",0.98,0.99,0.95,0.98,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 9, criterion: entropy",0.98,1.0,0.95,1.0,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 12, criterion: gini",0.97,1.0,0.95,1.0,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 12, criterion: entropy",0.98,1.0,0.95,1.0,-,-
RandomForestClassifier,"n_estimators: 100, max_depth: 4, criterion: gini",0.97,0.99,0.94,0.98,-,-
RandomForestClassifier,"n_estimators: 3, max_depth: 12, criterion: entropy",0.94,1.0,0.92,1.0,-,-
RandomForestClassifier,"n_estimators: 3, max_depth: 9, criterion: gini",0.94,1.0,0.9,1.0,-,lowest of its class
RandomForestClassifier,"n_estimators: 500, max_depth: 12, criterion: gini",0.98,1.0,0.95,1.0,-,-
KNeighborsClassifier,n_neighbors: 10,0.96,0.97,0.96,0.95,highest of its class,highest of its class
KNeighborsClassifier,n_neighbors: 200,0.0,0.0,0.0,0.0,lowest of its class,lowest of its class
KNeighborsClassifier,n_neighbors: 500,0.0,0.0,0.0,0.0,-,-
AdaBoostClassifier,"n_estimators: 8, learning_rate: 0.5, algorithm: SAMME",0.94,0.98,0.94,0.97,highest of its class,highest of its class
AdaBoostClassifier,"n_estimators: 3, learning_rate: 1, algorithm: SAMME",0.93,0.97,0.91,0.96,-,-
AdaBoostClassifier,"n_estimators: 8, learning_rate: 0.1, algorithm: SAMME",0.91,0.95,0.91,0.92,-,-
AdaBoostClassifier,"n_estimators: 8, learning_rate: 0.5, algorithm: SAMME.R",0.94,1.0,0.93,0.99,-,-
