model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,7.78,8.4,0.62,0.61,0.62,0.61,95.9,111.36,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,7.78,8.4,0.62,0.61,0.62,0.61,95.9,111.36,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",7.49,7.45,0.65,0.67,0.65,0.67,89.83,94.85,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: linear",7.58,8.29,0.62,0.59,0.62,0.59,97.26,118.63,highest of its class,lowest of its class,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",7.49,7.45,0.65,0.67,0.65,0.67,89.83,94.85,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",7.58,8.29,0.62,0.59,0.62,0.59,97.26,118.63,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",4.95,4.34,0.81,0.86,0.81,0.86,47.56,39.62,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: linear",7.57,8.23,0.62,0.59,0.62,0.58,97.93,119.26,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",4.95,4.34,0.81,0.86,0.81,0.86,47.56,39.62,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",7.57,8.23,0.62,0.59,0.62,0.58,97.93,119.26,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",4.59,3.68,0.83,0.89,0.83,0.89,42.14,30.73,lowest of its class,highest of its class,highest of its class,lowest of its class
SVR,"C: 20, gamma: auto, kernel: linear",7.58,8.23,0.62,0.59,0.61,0.58,98.19,119.38,-,-,lowest of its class,highest of its class
SVR,"C: 20, gamma: scale, kernel: rbf",4.59,3.68,0.83,0.89,0.83,0.89,42.14,30.73,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",7.58,8.23,0.62,0.59,0.61,0.58,98.19,119.38,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: random",11.63,11.94,0.21,0.22,0.21,0.22,202.4,223.11,highest of its class,lowest of its class,lowest of its class,highest of its class
DecisionTreeRegressor,"max_depth: 1, splitter: best",10.98,11.78,0.29,0.23,0.29,0.23,181.25,219.22,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: random",7.03,6.7,0.68,0.73,0.68,0.73,80.93,77.4,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: best",6.96,5.24,0.68,0.83,0.67,0.83,82.89,47.93,-,-,-,-
DecisionTreeRegressor,"max_depth: 10, splitter: random",5.0,1.8,0.8,0.96,0.8,0.96,51.44,11.04,-,highest of its class,highest of its class,lowest of its class
DecisionTreeRegressor,"max_depth: 10, splitter: best",4.89,1.02,0.78,0.99,0.77,0.99,57.36,4.24,lowest of its class,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 1",11.7,11.98,0.2,0.22,0.2,0.22,204.18,224.11,highest of its class,lowest of its class,lowest of its class,highest of its class
RandomForestRegressor,"max_depth: 1, n_estimators: 10",10.64,11.16,0.35,0.32,0.34,0.32,167.2,194.36,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 100",10.5,11.11,0.37,0.33,0.36,0.33,162.51,192.82,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 1",6.22,5.67,0.74,0.8,0.74,0.8,65.54,57.92,-,-,-,-
