model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: newton-cg",0.59,0.6,0.31,0.32,lowest of its class,lowest of its class
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: lbfgs",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: sag",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: saga",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: newton-cg",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: lbfgs",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: sag",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: saga",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: newton-cg",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: lbfgs",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: sag",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: saga",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: newton-cg",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: lbfgs",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: sag",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: saga",0.59,0.6,0.31,0.32,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: newton-cg",0.81,0.81,0.73,0.71,highest of its class,highest of its class
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: lbfgs",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: sag",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: saga",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: newton-cg",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: lbfgs",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: sag",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: saga",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: newton-cg",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: lbfgs",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: sag",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: saga",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: newton-cg",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: lbfgs",0.81,0.81,0.73,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: sag",0.81,0.81,0.72,0.71,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: saga",0.81,0.81,0.72,0.71,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.7,0.69,0.27,0.26,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.5,0.51,0.16,0.17,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.82,0.82,0.7,0.7,highest of its class,highest of its class
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.46,0.46,0.23,0.23,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.23,0.24,0.22,0.22,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.67,0.68,0.36,0.37,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.22,0.22,0.22,0.22,lowest of its class,-
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.22,0.22,0.22,0.22,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.81,0.82,0.69,0.71,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.7,0.69,0.27,0.26,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.5,0.51,0.16,0.17,-,-
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.82,0.83,0.7,0.71,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.46,0.46,0.23,0.23,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.27,0.27,0.22,0.22,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.62,0.62,0.33,0.33,-,-
SVC,"C: 1, kernel: poly, max_iter: 1",0.22,0.22,0.22,0.22,-,-
SVC,"C: 1, kernel: poly, max_iter: 100",0.23,0.23,0.22,0.22,-,-
SVC,"C: 1, kernel: poly, max_iter: 10000",0.8,0.81,0.55,0.6,-,-
SVC,"C: 10, kernel: rbf, max_iter: 1",0.7,0.69,0.27,0.26,-,-
SVC,"C: 10, kernel: rbf, max_iter: 100",0.38,0.4,0.21,0.22,-,-
SVC,"C: 10, kernel: rbf, max_iter: 10000",0.82,0.84,0.68,0.76,-,-
SVC,"C: 10, kernel: linear, max_iter: 1",0.75,0.75,0.28,0.28,-,-
SVC,"C: 10, kernel: linear, max_iter: 100",0.25,0.26,0.22,0.22,-,-
SVC,"C: 10, kernel: linear, max_iter: 10000",0.34,0.36,0.22,0.23,-,-
SVC,"C: 10, kernel: poly, max_iter: 1",0.22,0.22,0.22,0.22,-,-
SVC,"C: 10, kernel: poly, max_iter: 100",0.23,0.23,0.22,0.22,-,-
