model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: newton-cg",0.6,0.61,0.32,0.32,lowest of its class,lowest of its class
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: lbfgs",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: sag",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: saga",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: newton-cg",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: lbfgs",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: sag",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: saga",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: newton-cg",0.81,0.81,0.7,0.72,highest of its class,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: lbfgs",0.81,0.81,0.7,0.72,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: sag",0.81,0.81,0.71,0.72,-,highest of its class
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: saga",0.81,0.81,0.71,0.72,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: newton-cg",0.81,0.81,0.7,0.72,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: lbfgs",0.81,0.81,0.7,0.72,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: sag",0.81,0.81,0.71,0.72,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: saga",0.81,0.81,0.71,0.72,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: newton-cg",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: lbfgs",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: sag",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: saga",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: newton-cg",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: lbfgs",0.6,0.61,0.32,0.32,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: sag",0.6,0.61,0.32,0.32,-,-
