model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,0.1,0.09,0.64,0.71,0.64,0.71,0.02,0.02,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.1,0.09,0.64,0.71,0.64,0.71,0.02,0.02,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.11,0.07,0.6,0.85,0.59,0.85,0.02,0.01,-,-,-,lowest of its class
SVR,"C: 1, gamma: auto, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,lowest of its class,highest of its class,highest of its class,-
SVR,"C: 1, gamma: scale, kernel: rbf",0.11,0.07,0.6,0.85,0.59,0.85,0.02,0.01,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.12,0.07,0.53,0.9,0.52,0.89,0.03,0.01,highest of its class,lowest of its class,lowest of its class,highest of its class
SVR,"C: 10, gamma: auto, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.12,0.07,0.53,0.9,0.52,0.89,0.03,0.01,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.12,0.07,0.53,0.9,0.52,0.89,0.03,0.01,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.12,0.07,0.53,0.9,0.52,0.89,0.03,0.01,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.1,0.09,0.63,0.69,0.63,0.69,0.02,0.02,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",0.13,0.0,0.25,1.0,0.25,1.0,0.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,highest of its class,lowest of its class,lowest of its class,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",0.13,0.0,0.31,1.0,0.31,1.0,0.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",0.13,0.0,0.25,1.0,0.25,1.0,0.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",0.13,0.0,0.31,1.0,0.31,1.0,0.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",0.13,0.0,0.25,1.0,0.25,1.0,0.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",0.18,0.18,0.0,0.0,0.0,0.0,0.05,0.05,-,-,-,-
