model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,0.45,0.79,0.44,0.79,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.45,0.79,0.44,0.79,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.5,0.88,0.48,0.86,-,-
SVR,"C: 1, gamma: auto, kernel: linear",0.43,0.76,0.43,0.76,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",0.51,0.87,0.49,0.86,highest of its class,highest of its class
SVR,"C: 1, gamma: scale, kernel: linear",0.43,0.76,0.43,0.76,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.49,0.89,0.47,0.88,-,-
SVR,"C: 10, gamma: auto, kernel: linear",0.4,0.76,0.39,0.76,-,lowest of its class
SVR,"C: 10, gamma: scale, kernel: rbf",0.49,0.89,0.48,0.88,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.4,0.76,0.39,0.76,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.49,0.89,0.47,0.88,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.39,0.76,0.39,0.76,lowest of its class,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.49,0.89,0.48,0.88,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.39,0.76,0.39,0.76,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",0.18,1.0,0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",0.17,1.0,0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",0.18,1.0,0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",0.17,1.0,0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: random",0.18,1.0,0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: best",0.17,1.0,0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: best",0.0,0.0,-0.02,0.0,-,-
