model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 1, solver: newton-cg",0.76,0.75,0.8,0.8,highest of its class,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 1, solver: lbfgs",0.75,0.76,0.79,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 1, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 1, solver: saga",0.67,0.7,0.79,0.86,lowest of its class,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 5, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 5, solver: lbfgs",0.75,0.76,0.79,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 5, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 5, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: lbfgs",0.75,0.76,0.79,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 20, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 20, solver: lbfgs",0.75,0.76,0.79,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 20, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 20, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: lbfgs",0.75,0.76,0.79,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1, solver: newton-cg",0.72,0.72,0.83,0.86,-,highest of its class
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1, solver: lbfgs",0.72,0.72,0.83,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 1, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 5, solver: newton-cg",0.72,0.74,0.82,0.83,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 5, solver: lbfgs",0.72,0.74,0.82,0.83,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 5, solver: sag",0.7,0.71,0.82,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 5, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: newton-cg",0.74,0.74,0.81,0.82,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: lbfgs",0.74,0.74,0.82,0.82,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 20, solver: newton-cg",0.74,0.74,0.8,0.81,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 20, solver: lbfgs",0.74,0.74,0.8,0.81,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 20, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 20, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: newton-cg",0.74,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: lbfgs",0.74,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: sag",0.69,0.71,0.81,0.87,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: saga",0.67,0.7,0.79,0.86,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1, solver: lbfgs",0.75,0.75,0.79,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1, solver: sag",0.74,0.71,0.79,0.78,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 1, solver: saga",0.74,0.7,0.77,0.76,-,lowest of its class
LogisticRegression,"fit_intercept: True, penalty: none, C: 5, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 5, solver: lbfgs",0.75,0.75,0.79,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 5, solver: sag",0.74,0.71,0.79,0.78,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 5, solver: saga",0.74,0.7,0.77,0.76,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: lbfgs",0.75,0.75,0.79,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: sag",0.74,0.71,0.79,0.78,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: saga",0.74,0.7,0.77,0.76,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 20, solver: newton-cg",0.76,0.75,0.8,0.8,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 20, solver: lbfgs",0.75,0.75,0.79,0.8,-,-
