model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 1, fit_intercept: False, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,highest of its class,highest of its class
LogisticRegression,"C: 1, fit_intercept: False, penalty: none, solver: lbfgs",0.76,0.81,0.82,0.86,-,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: none, solver: sag",0.71,0.75,0.81,0.84,-,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: none, solver: saga",0.69,0.73,0.78,0.83,-,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: l2, solver: newton-cg",0.68,0.73,0.76,0.83,lowest of its class,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: l2, solver: lbfgs",0.68,0.73,0.76,0.83,-,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: l2, solver: sag",0.68,0.73,0.77,0.83,-,-
LogisticRegression,"C: 1, fit_intercept: False, penalty: l2, solver: saga",0.68,0.73,0.77,0.83,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: none, solver: lbfgs",0.76,0.81,0.83,0.85,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: none, solver: sag",0.72,0.76,0.78,0.8,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: none, solver: saga",0.71,0.75,0.76,0.79,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: l2, solver: newton-cg",0.7,0.76,0.75,0.79,-,lowest of its class
LogisticRegression,"C: 1, fit_intercept: True, penalty: l2, solver: lbfgs",0.7,0.76,0.75,0.79,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: l2, solver: sag",0.71,0.76,0.76,0.79,-,-
LogisticRegression,"C: 1, fit_intercept: True, penalty: l2, solver: saga",0.71,0.75,0.75,0.78,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: none, solver: lbfgs",0.76,0.81,0.82,0.86,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: none, solver: sag",0.71,0.75,0.81,0.84,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: none, solver: saga",0.69,0.73,0.78,0.83,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: l2, solver: newton-cg",0.72,0.77,0.81,0.85,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: l2, solver: lbfgs",0.72,0.77,0.81,0.85,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: l2, solver: sag",0.71,0.75,0.8,0.84,-,-
LogisticRegression,"C: 5, fit_intercept: False, penalty: l2, solver: saga",0.68,0.73,0.77,0.83,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: none, solver: lbfgs",0.76,0.81,0.83,0.85,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: none, solver: sag",0.72,0.76,0.78,0.8,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: none, solver: saga",0.71,0.75,0.76,0.79,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: l2, solver: newton-cg",0.73,0.78,0.78,0.82,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: l2, solver: lbfgs",0.73,0.78,0.78,0.82,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: l2, solver: sag",0.72,0.76,0.77,0.8,-,-
LogisticRegression,"C: 5, fit_intercept: True, penalty: l2, solver: saga",0.71,0.75,0.76,0.79,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: lbfgs",0.76,0.81,0.82,0.86,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: sag",0.71,0.75,0.81,0.84,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: saga",0.69,0.73,0.78,0.83,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: newton-cg",0.73,0.78,0.82,0.86,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: lbfgs",0.73,0.78,0.82,0.86,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: sag",0.71,0.75,0.81,0.84,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: saga",0.68,0.73,0.77,0.83,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: newton-cg",0.77,0.8,0.84,0.85,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: lbfgs",0.76,0.81,0.83,0.85,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: sag",0.72,0.76,0.78,0.8,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: saga",0.71,0.75,0.76,0.79,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: newton-cg",0.76,0.78,0.81,0.82,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: lbfgs",0.76,0.78,0.81,0.82,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: sag",0.72,0.76,0.78,0.8,-,-
