model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,165.02,174.47,0.06,0.04,0.0,0.04,61217.02,165127.35,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,165.02,174.47,0.06,0.04,0.0,0.04,61217.02,165127.35,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",123.59,150.15,0.01,0.0,0.04,0.05,64202.49,180062.89,-,lowest of its class,highest of its class,highest of its class
SVR,"C: 1, gamma: auto, kernel: linear",122.37,147.23,0.05,0.02,0.0,0.04,61311.39,177649.24,-,-,lowest of its class,-
SVR,"C: 1, gamma: scale, kernel: rbf",123.59,150.15,0.01,0.0,0.04,0.05,64202.49,180062.89,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",122.37,147.23,0.05,0.02,0.0,0.04,61311.39,177649.24,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",119.94,143.19,0.05,0.03,0.01,0.02,60879.05,175762.53,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: linear",124.98,146.68,0.05,0.02,0.02,0.03,60135.49,175889.7,highest of its class,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",119.94,143.19,0.05,0.03,0.01,0.02,60879.05,175762.53,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",124.98,146.68,0.05,0.02,0.02,0.03,60135.49,175889.7,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",119.67,140.4,0.07,0.03,0.02,0.02,59975.31,174354.86,lowest of its class,highest of its class,-,-
SVR,"C: 20, gamma: auto, kernel: linear",124.47,146.67,0.06,0.02,0.03,0.02,59797.28,175641.26,-,-,-,lowest of its class
SVR,"C: 20, gamma: scale, kernel: rbf",119.67,140.4,0.07,0.03,0.02,0.02,59975.31,174354.86,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",124.47,146.67,0.06,0.02,0.03,0.02,59797.28,175641.26,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",252.61,0.66,2.6,1.0,2.71,1.0,227926.35,21.07,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",312.26,2.95,11.0,1.0,11.38,1.0,761487.33,312.59,highest of its class,highest of its class,highest of its class,highest of its class
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",201.83,2.68,1.14,1.0,1.18,1.0,133927.21,59.79,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",246.52,0.85,6.22,1.0,6.33,1.0,451029.96,21.78,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",256.36,1.76,6.73,1.0,6.88,1.0,484455.78,30.14,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",247.08,2.62,6.22,1.0,6.35,1.0,451882.94,41.28,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",252.61,0.66,2.6,1.0,2.71,1.0,227926.35,21.07,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",312.26,2.95,11.0,1.0,11.38,1.0,761487.33,312.59,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",201.83,2.68,1.14,1.0,1.18,1.0,133927.21,59.79,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",246.52,0.85,6.22,1.0,6.33,1.0,451029.96,21.78,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",256.36,1.76,6.73,1.0,6.88,1.0,484455.78,30.14,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",247.08,2.62,6.22,1.0,6.35,1.0,451882.94,41.28,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",252.61,0.66,2.6,1.0,2.71,1.0,227926.35,21.07,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",312.26,2.95,11.0,1.0,11.38,1.0,761487.33,312.59,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",201.83,2.68,1.14,1.0,1.18,1.0,133927.21,59.79,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",246.52,0.85,6.22,1.0,6.33,1.0,451029.96,21.78,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",256.36,1.76,6.73,1.0,6.88,1.0,484455.78,30.14,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",247.08,2.62,6.22,1.0,6.35,1.0,451882.94,41.28,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",275.11,0.51,6.62,1.0,6.82,1.0,480888.46,20.59,-,-,-,-
