model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,-0.07,0.13,-0.09,0.13,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,-0.07,0.13,-0.09,0.13,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.0,0.01,-0.11,-0.08,-,lowest of its class
SVR,"C: 1, gamma: auto, kernel: linear",0.01,0.04,-0.1,-0.04,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",0.0,0.01,-0.11,-0.08,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.01,0.04,-0.1,-0.04,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.03,0.05,-0.08,-0.04,highest of its class,highest of its class
SVR,"C: 10, gamma: auto, kernel: linear",-0.01,0.08,-0.09,0.02,lowest of its class,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.03,0.05,-0.09,-0.04,-,-
SVR,"C: 10, gamma: scale, kernel: linear",-0.01,0.08,-0.09,0.02,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.03,0.07,-0.08,-0.01,-,-
SVR,"C: 20, gamma: auto, kernel: linear",-0.01,0.08,-0.08,0.03,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.03,0.07,-0.08,-0.01,-,-
SVR,"C: 20, gamma: scale, kernel: linear",-0.01,0.08,-0.08,0.03,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",-1.58,1.0,-1.63,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",-0.38,1.0,-0.42,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",-1.16,1.0,-1.22,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",-0.23,1.0,-0.29,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",-2.12,1.0,-2.22,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",-0.33,1.0,-0.36,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",-1.97,1.0,-2.06,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",-0.33,1.0,-0.36,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",-1.58,1.0,-1.63,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",-0.38,1.0,-0.42,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",-1.16,1.0,-1.22,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",-0.23,1.0,-0.29,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",-2.12,1.0,-2.22,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",-0.33,1.0,-0.36,1.0,-,-
