model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_recall_score,mean_train_recall_score,mean_test_average_precision_score,mean_train_average_precision_score,mean_test_roc_auc_score,mean_train_roc_auc_score,ranking_test_accuracy_score,ranking_test_recall_score,ranking_test_average_precision_score,ranking_test_roc_auc_score
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: newton-cg",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: lbfgs",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: sag",0.66,0.72,0.79,0.89,0.44,0.5,0.7,0.77,highest of its class,-,highest of its class,highest of its class
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: saga",0.66,0.72,0.75,0.9,0.42,0.5,0.68,0.77,-,lowest of its class,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: newton-cg",0.65,0.73,0.77,0.89,0.42,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: lbfgs",0.65,0.73,0.77,0.89,0.42,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: sag",0.65,0.73,0.79,0.89,0.43,0.5,0.69,0.78,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: saga",0.65,0.72,0.75,0.89,0.42,0.49,0.68,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: newton-cg",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,highest of its class,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: lbfgs",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: sag",0.64,0.71,0.79,0.91,0.42,0.49,0.68,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: saga",0.63,0.7,0.77,0.9,0.41,0.49,0.67,0.76,-,-,-,lowest of its class
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: newton-cg",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: lbfgs",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: sag",0.62,0.7,0.77,0.91,0.4,0.48,0.67,0.76,lowest of its class,-,lowest of its class,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: saga",0.64,0.7,0.79,0.9,0.42,0.48,0.68,0.76,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: newton-cg",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: lbfgs",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: sag",0.66,0.72,0.79,0.89,0.44,0.5,0.7,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: saga",0.66,0.72,0.75,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: newton-cg",0.65,0.72,0.77,0.89,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: lbfgs",0.65,0.72,0.77,0.89,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: sag",0.65,0.72,0.77,0.9,0.43,0.5,0.68,0.77,-,-,-,-
