model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_recall_score,mean_train_recall_score,mean_test_average_precision_score,mean_train_average_precision_score,mean_test_roc_auc_score,mean_train_roc_auc_score,ranking_test_accuracy_score,ranking_test_recall_score,ranking_test_average_precision_score,ranking_test_roc_auc_score
LogisticRegression,"solver: lbfgs, penalty: l2, fit_intercept: False, C: 10",0.65,0.73,0.77,0.89,0.42,0.5,0.69,0.77,-,lowest of its class,-,-
LogisticRegression,"solver: newton-cg, penalty: none, fit_intercept: True, C: 50",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,highest of its class,-,-
LogisticRegression,"solver: lbfgs, penalty: none, fit_intercept: False, C: 10",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"solver: newton-cg, penalty: l2, fit_intercept: True, C: 10",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,-,-,-
LogisticRegression,"solver: saga, penalty: none, fit_intercept: True, C: 10",0.63,0.7,0.77,0.9,0.41,0.49,0.67,0.76,lowest of its class,-,lowest of its class,lowest of its class
LogisticRegression,"solver: sag, penalty: l2, fit_intercept: True, C: 50",0.64,0.71,0.79,0.92,0.42,0.49,0.68,0.77,-,-,-,-
LogisticRegression,"solver: sag, penalty: none, fit_intercept: False, C: 50",0.66,0.72,0.79,0.89,0.44,0.5,0.7,0.77,highest of its class,-,highest of its class,highest of its class
LogisticRegression,"solver: lbfgs, penalty: none, fit_intercept: False, C: 50",0.65,0.72,0.77,0.9,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"solver: lbfgs, penalty: l2, fit_intercept: False, C: 50",0.65,0.72,0.77,0.89,0.42,0.5,0.68,0.77,-,-,-,-
LogisticRegression,"solver: lbfgs, penalty: l2, fit_intercept: True, C: 10",0.65,0.71,0.8,0.91,0.43,0.5,0.69,0.77,-,-,-,-
SVC,"max_iter: 100, kernel: rbf, C: 20",0.72,1.0,0.48,1.0,0.42,1.0,0.65,1.0,-,-,-,-
SVC,"max_iter: 10000, kernel: poly, C: 1",0.71,0.85,0.15,0.49,0.37,0.64,0.55,0.74,-,-,-,-
SVC,"max_iter: 10000, kernel: linear, C: 20",0.76,0.81,0.57,0.63,0.47,0.56,0.7,0.76,highest of its class,-,highest of its class,highest of its class
SVC,"max_iter: 1, kernel: poly, C: 1",0.33,0.31,1.0,0.96,0.31,0.3,0.52,0.5,-,highest of its class,-,-
SVC,"max_iter: 10000, kernel: linear, C: 1",0.74,0.81,0.49,0.63,0.44,0.56,0.67,0.76,-,-,-,-
SVC,"max_iter: 1, kernel: poly, C: 10",0.3,0.3,1.0,1.0,0.3,0.3,0.5,0.5,lowest of its class,-,lowest of its class,lowest of its class
SVC,"max_iter: 10000, kernel: rbf, C: 20",0.71,1.0,0.48,0.99,0.41,1.0,0.65,1.0,-,-,-,-
SVC,"max_iter: 10000, kernel: linear, C: 0.5",0.74,0.81,0.49,0.62,0.44,0.55,0.67,0.75,-,-,-,-
SVC,"max_iter: 100, kernel: rbf, C: 0.5",0.72,0.78,0.08,0.28,0.35,0.49,0.53,0.64,-,lowest of its class,-,-
SVC,"max_iter: 1, kernel: linear, C: 10",0.52,0.51,0.85,0.9,0.38,0.37,0.62,0.62,-,-,-,-
DecisionTreeClassifier,"splitter: best, max_features: sqrt, max_depth: 1000, criterion: entropy",0.66,1.0,0.41,1.0,0.36,1.0,0.59,1.0,-,lowest of its class,-,-
