model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: newton-cg",0.69,0.69,0.13,0.14,lowest of its class,lowest of its class
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: lbfgs",0.69,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: sag",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: saga",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: newton-cg",0.69,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: lbfgs",0.69,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: sag",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: saga",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: newton-cg",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: lbfgs",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: sag",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: saga",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: newton-cg",0.69,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: lbfgs",0.69,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: sag",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: saga",0.7,0.69,0.13,0.14,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: newton-cg",0.94,0.93,1.0,0.15,highest of its class,highest of its class
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: lbfgs",0.94,0.93,1.0,0.15,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: sag",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: saga",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: newton-cg",0.94,0.93,1.0,0.15,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: lbfgs",0.94,0.93,1.0,0.15,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: sag",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: saga",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: newton-cg",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: lbfgs",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: sag",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: saga",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: newton-cg",0.94,0.93,1.0,0.17,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: lbfgs",0.94,0.93,1.0,0.17,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: sag",0.94,0.93,1.0,0.18,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: saga",0.94,0.93,1.0,0.18,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.88,0.88,0.18,0.26,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.91,0.92,0.17,0.36,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.93,0.93,0.0,0.0,highest of its class,lowest of its class
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.92,0.91,0.23,0.24,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.11,0.11,0.06,0.06,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.07,0.07,0.06,0.06,lowest of its class,-
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.08,0.08,0.06,0.07,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.93,0.94,0.2,1.0,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.88,0.88,0.18,0.26,-,-
SVC,"C: 1, kernel: rbf, max_iter: 100",0.93,0.94,0.43,0.6,-,highest of its class
SVC,"C: 1, kernel: rbf, max_iter: 10000",0.93,0.93,0.0,1.0,-,-
SVC,"C: 1, kernel: linear, max_iter: 1",0.78,0.76,0.18,0.16,-,-
SVC,"C: 1, kernel: linear, max_iter: 100",0.12,0.13,0.06,0.06,-,-
SVC,"C: 1, kernel: linear, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 1, kernel: poly, max_iter: 1",0.07,0.07,0.06,0.06,-,-
SVC,"C: 1, kernel: poly, max_iter: 100",0.08,0.09,0.06,0.06,-,-
SVC,"C: 1, kernel: poly, max_iter: 10000",0.93,0.94,0.14,0.93,-,-
SVC,"C: 10, kernel: rbf, max_iter: 1",0.78,0.76,0.18,0.16,-,-
SVC,"C: 10, kernel: rbf, max_iter: 100",0.76,0.76,0.01,0.07,-,-
SVC,"C: 10, kernel: rbf, max_iter: 10000",0.92,0.96,0.15,0.93,-,-
SVC,"C: 10, kernel: linear, max_iter: 1",0.78,0.76,0.18,0.16,-,-
SVC,"C: 10, kernel: linear, max_iter: 100",0.87,0.87,0.16,0.16,-,-
SVC,"C: 10, kernel: linear, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 10, kernel: poly, max_iter: 1",0.09,0.09,0.06,0.06,-,-
SVC,"C: 10, kernel: poly, max_iter: 100",0.11,0.1,0.06,0.07,-,-
SVC,"C: 10, kernel: poly, max_iter: 10000",0.92,0.95,0.23,0.95,-,-
SVC,"C: 20, kernel: rbf, max_iter: 1",0.78,0.76,0.18,0.16,-,-
SVC,"C: 20, kernel: rbf, max_iter: 100",0.34,0.37,0.03,0.04,-,-
SVC,"C: 20, kernel: rbf, max_iter: 10000",0.92,0.96,0.12,0.94,-,-
SVC,"C: 20, kernel: linear, max_iter: 1",0.78,0.76,0.18,0.16,-,-
SVC,"C: 20, kernel: linear, max_iter: 100",0.16,0.17,0.06,0.06,-,-
SVC,"C: 20, kernel: linear, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 20, kernel: poly, max_iter: 1",0.09,0.09,0.06,0.06,-,-
SVC,"C: 20, kernel: poly, max_iter: 100",0.11,0.12,0.06,0.06,-,-
SVC,"C: 20, kernel: poly, max_iter: 10000",0.92,0.95,0.21,0.79,-,-
