model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: newton-cg",0.93,0.94,0.25,0.82,highest of its class,highest of its class
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: lbfgs",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: sag",0.68,0.7,0.12,0.13,lowest of its class,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: saga",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: newton-cg",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: lbfgs",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: sag",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: saga",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: newton-cg",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: lbfgs",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: sag",0.93,0.94,0.07,0.88,-,lowest of its class
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: saga",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: newton-cg",0.93,0.94,0.25,0.88,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: lbfgs",0.93,0.94,0.25,0.88,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: sag",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: saga",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: newton-cg",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: lbfgs",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: sag",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: saga",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: newton-cg",0.68,0.7,0.11,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: lbfgs",0.68,0.7,0.11,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: sag",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: saga",0.68,0.7,0.12,0.13,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: newton-cg",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: lbfgs",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: sag",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: saga",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: newton-cg",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: lbfgs",0.93,0.94,0.25,0.82,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: sag",0.93,0.94,0.07,0.88,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: saga",0.93,0.94,0.07,0.88,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.64,0.66,0.04,0.05,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.93,0.93,0.0,0.0,highest of its class,lowest of its class
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.25,0.25,0.07,0.07,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.85,0.85,0.34,0.23,-,highest of its class
SVC,"C: 0.5, kernel: linear, max_iter: 10000",0.93,0.93,0.0,0.0,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 1",0.62,0.62,0.06,0.16,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 100",0.93,0.95,0.1,0.98,-,-
SVC,"C: 0.5, kernel: poly, max_iter: 10000",0.93,0.95,0.2,1.0,-,-
SVC,"C: 1, kernel: rbf, max_iter: 1",0.64,0.66,0.04,0.05,-,-
