model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,3.05,2.4,0.15,0.28,0.15,0.28,14.09,9.09,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,3.05,2.4,0.15,0.28,0.15,0.28,14.09,9.09,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",3.07,1.95,0.14,0.41,0.13,0.41,14.41,7.43,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: linear",3.24,2.33,0.06,0.24,0.06,0.23,15.69,9.69,-,lowest of its class,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",3.07,1.95,0.14,0.41,0.13,0.41,14.41,7.43,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",3.24,2.33,0.06,0.24,0.06,0.23,15.69,9.69,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",3.03,0.36,0.15,0.93,0.14,0.93,14.32,0.93,lowest of its class,highest of its class,highest of its class,lowest of its class
SVR,"C: 10, gamma: auto, kernel: linear",3.25,2.33,0.06,0.24,0.05,0.23,15.73,9.69,highest of its class,-,lowest of its class,highest of its class
SVR,"C: 10, gamma: scale, kernel: rbf",3.03,0.36,0.15,0.93,0.14,0.93,14.32,0.93,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",3.25,2.33,0.06,0.24,0.05,0.23,15.73,9.69,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",3.07,0.17,0.11,0.98,0.1,0.98,15.01,0.19,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: linear",3.25,2.33,0.06,0.24,0.05,0.23,15.73,9.69,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",3.07,0.17,0.11,0.98,0.1,0.98,15.01,0.19,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",3.25,2.33,0.06,0.24,0.05,0.23,15.73,9.69,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: random",3.43,2.79,0.02,0.04,0.02,0.04,17.04,12.13,-,lowest of its class,lowest of its class,-
DecisionTreeRegressor,"max_depth: 1, splitter: best",3.06,2.68,0.17,0.1,0.17,0.1,13.83,11.32,lowest of its class,-,-,lowest of its class
DecisionTreeRegressor,"max_depth: 5, splitter: random",3.5,2.15,0.03,0.39,0.05,0.39,17.43,7.74,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: best",3.36,1.87,0.08,0.52,0.09,0.52,18.06,6.08,-,-,-,-
DecisionTreeRegressor,"max_depth: 10, splitter: random",3.78,0.58,0.34,0.9,0.36,0.9,22.59,1.21,highest of its class,highest of its class,highest of its class,highest of its class
DecisionTreeRegressor,"max_depth: 10, splitter: best",3.59,0.31,0.29,0.97,0.29,0.97,21.45,0.43,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 1",3.07,2.69,0.16,0.1,0.16,0.1,13.99,11.34,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 10",3.06,2.65,0.18,0.13,0.17,0.13,13.74,11.02,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 100",3.11,2.65,0.15,0.13,0.15,0.13,14.17,10.96,-,lowest of its class,lowest of its class,-
RandomForestRegressor,"max_depth: 5, n_estimators: 1",3.67,2.16,0.25,0.35,0.25,0.35,20.85,8.17,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 10",2.96,1.88,0.2,0.56,0.2,0.56,13.38,5.55,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 100",2.95,1.86,0.22,0.57,0.21,0.57,13.07,5.41,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 1",3.72,1.37,0.28,0.47,0.29,0.47,21.39,6.7,highest of its class,highest of its class,highest of its class,highest of its class
RandomForestRegressor,"max_depth: 10, n_estimators: 10",2.98,1.16,0.2,0.82,0.2,0.82,13.27,2.31,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 100",2.93,1.05,0.22,0.86,0.22,0.86,13.05,1.78,lowest of its class,-,-,lowest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 1",3.79,0.0,0.28,1.0,0.3,1.0,21.68,0.0,highest of its class,highest of its class,highest of its class,highest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 5",3.11,2.14,0.14,0.38,0.12,0.38,14.58,7.83,-,-,-,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 10",3.17,2.33,0.13,0.3,0.11,0.3,14.86,8.82,-,lowest of its class,lowest of its class,-
KNeighborsRegressor,"weights: distance, n_neighbors: 1",3.79,0.0,0.28,1.0,0.3,1.0,21.68,0.0,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 5",3.1,0.0,0.15,1.0,0.13,1.0,14.5,0.0,lowest of its class,-,-,lowest of its class
KNeighborsRegressor,"weights: distance, n_neighbors: 10",3.15,0.0,0.14,1.0,0.12,1.0,14.72,0.0,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.1",3.66,2.66,0.18,0.11,0.22,0.1,20.3,11.3,highest of its class,highest of its class,highest of its class,highest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.5",3.66,2.66,0.18,0.11,0.22,0.1,20.3,11.3,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 1",3.66,2.66,0.18,0.11,0.22,0.1,20.3,11.3,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.1",3.1,2.33,0.15,0.32,0.15,0.32,14.22,8.61,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.5",3.16,2.36,0.09,0.32,0.08,0.32,15.32,8.6,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 1",3.26,2.36,0.05,0.34,0.05,0.33,15.88,8.41,-,lowest of its class,lowest of its class,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.1",3.06,2.33,0.17,0.33,0.16,0.33,14.0,8.45,lowest of its class,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.5",3.09,2.31,0.16,0.37,0.16,0.37,13.95,7.98,-,-,-,lowest of its class
AdaBoostRegressor,"n_estimators: 10, learning_rate: 1",3.18,2.34,0.11,0.35,0.11,0.35,14.86,8.16,-,-,-,-
GaussianProcessRegressor,alpha: 0.5,10.59,3.55,0.0,0.89,6.74,0.11,128.8,14.04,lowest of its class,lowest of its class,lowest of its class,lowest of its class
GaussianProcessRegressor,alpha: 1,10.6,5.34,0.0,0.75,6.75,1.51,128.88,31.62,highest of its class,-,highest of its class,-
GaussianProcessRegressor,alpha: 1.5,10.6,6.41,0.0,0.64,6.75,2.61,128.93,45.58,-,-,-,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 100",3.75,2.89,0.06,0.32,0.22,0.0,20.28,12.63,highest of its class,-,highest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 200",3.32,1.93,0.04,0.54,0.04,0.53,16.05,5.87,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 300",3.29,1.63,0.07,0.66,0.06,0.66,15.58,4.3,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 100",3.61,2.36,0.12,0.35,0.15,0.32,19.09,8.64,-,highest of its class,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 200",3.24,1.76,0.05,0.6,0.05,0.6,15.75,5.06,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 300",3.18,1.47,0.09,0.72,0.09,0.72,15.18,3.54,lowest of its class,-,-,lowest of its class
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 100",3.49,2.2,0.07,0.39,0.08,0.38,17.9,7.83,-,-,-,-
