model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,-0.44,0.55,-0.48,0.55,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,-0.44,0.55,-0.48,0.55,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.12,0.36,0.05,0.36,highest of its class,highest of its class
SVR,"C: 1, gamma: auto, kernel: linear",-0.39,0.44,-0.45,0.43,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",0.12,0.35,0.05,0.35,-,-
SVR,"C: 1, gamma: scale, kernel: linear",-0.39,0.44,-0.45,0.43,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.08,0.96,-0.01,0.96,-,-
SVR,"C: 10, gamma: auto, kernel: linear",-0.57,0.4,-0.62,0.4,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.07,0.95,-0.02,0.95,-,-
SVR,"C: 10, gamma: scale, kernel: linear",-0.57,0.4,-0.62,0.4,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.03,0.99,-0.05,0.99,-,-
SVR,"C: 20, gamma: auto, kernel: linear",-0.58,0.4,-0.63,0.4,lowest of its class,lowest of its class
SVR,"C: 20, gamma: scale, kernel: rbf",0.03,0.99,-0.06,0.99,-,-
SVR,"C: 20, gamma: scale, kernel: linear",-0.58,0.4,-0.63,0.4,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",-0.5,1.0,-0.55,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",-0.42,1.0,-0.47,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",-0.26,0.93,-0.3,0.93,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",-0.29,0.94,-0.34,0.94,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",0.0,0.56,-0.05,0.56,highest of its class,highest of its class
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",-0.47,0.63,-0.51,0.63,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",-0.03,0.35,-0.06,0.35,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",-0.09,0.39,-0.1,0.39,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",-0.5,1.0,-0.55,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",-0.42,1.0,-0.47,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",-0.26,0.93,-0.3,0.93,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",-0.29,0.94,-0.34,0.94,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",0.0,0.56,-0.05,0.56,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",-0.47,0.63,-0.51,0.63,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: random",-0.03,0.35,-0.06,0.35,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: best",-0.09,0.39,-0.1,0.39,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: random",-0.5,1.0,-0.55,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: best",-0.42,1.0,-0.47,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: random",-0.26,0.93,-0.3,0.93,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: best",-0.29,0.94,-0.34,0.94,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.5, splitter: random",0.0,0.56,-0.05,0.56,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.5, splitter: best",-0.47,0.63,-0.51,0.63,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.9, splitter: random",-0.03,0.35,-0.06,0.35,-,-
