model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,1.68,1.73,0.29,0.39,0.28,0.39,5.52,4.95,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,1.68,1.73,0.29,0.39,0.28,0.39,5.52,4.95,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",2.6,0.0,0.53,1.0,0.56,1.0,12.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",1.91,1.78,0.09,0.38,0.09,0.38,7.04,5.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",2.03,2.08,0.06,0.14,0.06,0.14,7.26,6.94,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",2.03,2.08,0.06,0.14,0.06,0.14,7.26,6.94,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",2.31,0.0,0.18,1.0,0.19,1.0,9.16,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",1.93,1.74,0.17,0.38,0.17,0.38,6.41,5.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",1.9,1.99,0.17,0.21,0.17,0.21,6.43,6.39,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",1.9,1.99,0.17,0.21,0.17,0.21,6.43,6.39,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",2.6,0.0,0.53,1.0,0.56,1.0,12.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",1.91,1.78,0.09,0.38,0.09,0.38,7.04,5.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",2.03,2.08,0.06,0.14,0.06,0.14,7.26,6.94,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",2.03,2.08,0.06,0.14,0.06,0.14,7.26,6.94,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",2.31,0.0,0.18,1.0,0.19,1.0,9.16,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",1.93,1.74,0.17,0.38,0.17,0.38,6.41,5.05,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",1.9,1.99,0.17,0.21,0.17,0.21,6.43,6.39,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",1.9,1.99,0.17,0.21,0.17,0.21,6.43,6.39,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",2.6,0.0,0.53,1.0,0.56,1.0,12.04,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",1.91,1.78,0.09,0.38,0.09,0.38,7.04,5.05,-,-,-,-
