model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: newton-cg",0.61,0.65,0.2,0.23,lowest of its class,highest of its class
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: lbfgs",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: sag",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 10, solver: saga",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: newton-cg",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: lbfgs",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: sag",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: none, C: 50, solver: saga",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: newton-cg",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: lbfgs",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: sag",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 10, solver: saga",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: newton-cg",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: lbfgs",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: sag",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: False, penalty: l2, C: 50, solver: saga",0.61,0.65,0.2,0.23,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: newton-cg",0.85,0.85,0.0,0.5,highest of its class,lowest of its class
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: lbfgs",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: sag",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 10, solver: saga",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: newton-cg",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: lbfgs",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: sag",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: none, C: 50, solver: saga",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: newton-cg",0.85,0.85,0.0,0.4,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: lbfgs",0.85,0.85,0.0,0.4,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: sag",0.85,0.85,0.0,0.4,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 10, solver: saga",0.85,0.85,0.0,0.4,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: newton-cg",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: lbfgs",0.85,0.85,0.0,0.5,-,-
LogisticRegression,"fit_intercept: True, penalty: l2, C: 50, solver: sag",0.85,0.85,0.0,0.5,-,-
