model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: newton-cg",0.6,0.77,0.12,0.41,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: lbfgs",0.6,0.77,0.12,0.41,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: sag",0.56,0.76,0.09,0.33,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: none, solver: saga",0.54,0.73,0.11,0.29,lowest of its class,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: newton-cg",0.58,0.76,0.09,0.33,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: lbfgs",0.58,0.76,0.09,0.33,-,-
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: sag",0.57,0.75,0.13,0.33,-,highest of its class
LogisticRegression,"C: 10, fit_intercept: False, penalty: l2, solver: saga",0.54,0.73,0.11,0.29,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: newton-cg",0.76,0.87,0.06,0.62,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: lbfgs",0.76,0.87,0.06,0.62,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: sag",0.77,0.87,0.03,0.66,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: none, solver: saga",0.78,0.87,0.0,0.74,-,lowest of its class
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: newton-cg",0.8,0.87,0.07,0.66,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: lbfgs",0.8,0.87,0.07,0.66,-,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: sag",0.81,0.87,0.04,0.68,highest of its class,-
LogisticRegression,"C: 10, fit_intercept: True, penalty: l2, solver: saga",0.79,0.87,0.0,0.74,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: newton-cg",0.6,0.77,0.12,0.41,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: lbfgs",0.6,0.77,0.12,0.41,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: sag",0.56,0.76,0.09,0.33,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: none, solver: saga",0.54,0.73,0.11,0.29,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: newton-cg",0.59,0.77,0.11,0.38,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: lbfgs",0.59,0.77,0.11,0.38,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: sag",0.56,0.76,0.09,0.33,-,-
LogisticRegression,"C: 50, fit_intercept: False, penalty: l2, solver: saga",0.54,0.73,0.11,0.29,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: newton-cg",0.76,0.87,0.06,0.62,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: lbfgs",0.76,0.87,0.06,0.62,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: sag",0.77,0.87,0.03,0.66,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: none, solver: saga",0.78,0.87,0.0,0.74,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: newton-cg",0.79,0.87,0.07,0.64,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: lbfgs",0.79,0.87,0.07,0.64,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: sag",0.77,0.87,0.03,0.66,-,-
LogisticRegression,"C: 50, fit_intercept: True, penalty: l2, solver: saga",0.78,0.87,0.0,0.74,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 1",0.64,0.61,0.16,0.19,-,-
SVC,"C: 0.5, kernel: rbf, max_iter: 100",0.85,0.85,0.0,0.0,highest of its class,lowest of its class
SVC,"C: 0.5, kernel: rbf, max_iter: 10000",0.85,0.85,0.0,0.0,-,-
SVC,"C: 0.5, kernel: linear, max_iter: 1",0.39,0.38,0.18,0.17,lowest of its class,-
SVC,"C: 0.5, kernel: linear, max_iter: 100",0.83,0.87,0.0,0.66,-,-
