model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,0.48,0.51,0.35,0.36,0.35,0.36,0.4,0.42,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.48,0.51,0.35,0.36,0.35,0.36,0.4,0.42,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.45,0.38,0.38,0.56,0.37,0.56,0.38,0.3,lowest of its class,highest of its class,highest of its class,lowest of its class
SVR,"C: 1, gamma: auto, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: rbf",0.45,0.38,0.38,0.56,0.37,0.56,0.38,0.3,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.48,0.28,0.26,0.71,0.25,0.71,0.46,0.19,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.48,0.28,0.26,0.71,0.25,0.71,0.46,0.19,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.5,0.25,0.19,0.76,0.18,0.76,0.5,0.16,highest of its class,lowest of its class,lowest of its class,highest of its class
SVR,"C: 20, gamma: auto, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.5,0.25,0.19,0.76,0.18,0.76,0.5,0.16,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.48,0.5,0.34,0.35,0.34,0.35,0.4,0.43,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,highest of its class,lowest of its class,lowest of its class,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,lowest of its class,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",0.55,0.58,0.19,0.18,0.19,0.18,0.5,0.55,-,-,-,lowest of its class
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",0.55,0.58,0.19,0.18,0.19,0.18,0.5,0.55,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",0.55,0.58,0.19,0.18,0.19,0.18,0.5,0.55,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",0.66,0.69,0.0,0.0,0.0,0.0,0.61,0.67,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",0.49,0.0,0.08,1.0,0.08,1.0,0.66,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",0.49,0.13,0.02,0.89,0.01,0.89,0.61,0.07,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",0.56,0.35,0.07,0.68,0.06,0.68,0.57,0.21,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",0.45,0.05,0.07,0.96,0.07,0.96,0.57,0.02,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",0.49,0.16,0.1,0.88,0.09,0.88,0.55,0.08,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",0.49,0.0,0.08,1.0,0.08,1.0,0.66,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",0.49,0.13,0.02,0.89,0.01,0.89,0.61,0.07,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",0.56,0.35,0.07,0.68,0.06,0.68,0.57,0.21,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",0.45,0.05,0.07,0.96,0.07,0.96,0.57,0.02,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",0.49,0.16,0.1,0.88,0.09,0.88,0.55,0.08,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",0.51,0.0,0.18,1.0,0.19,1.0,0.72,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",0.49,0.0,0.08,1.0,0.08,1.0,0.66,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",0.49,0.13,0.02,0.89,0.01,0.89,0.61,0.07,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",0.56,0.35,0.07,0.68,0.06,0.68,0.57,0.21,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",0.43,0.0,0.06,1.0,0.06,1.0,0.58,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",0.45,0.05,0.07,0.96,0.07,0.96,0.57,0.02,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",0.49,0.16,0.1,0.88,0.09,0.88,0.55,0.08,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",0.47,0.0,0.01,1.0,0.03,1.0,0.63,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",0.49,0.0,0.07,1.0,0.08,1.0,0.66,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",0.45,0.5,0.14,0.1,0.14,0.09,0.53,0.6,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",0.47,0.0,0.01,1.0,0.03,1.0,0.63,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",0.49,0.0,0.07,1.0,0.08,1.0,0.66,0.0,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",0.45,0.5,0.14,0.1,0.14,0.09,0.53,0.6,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",0.63,0.67,0.0,0.0,0.24,0.19,0.76,0.79,-,-,-,-
