model,params,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,ranking_test_explained_variance_score,ranking_test_r2_score
LinearRegression,fit_intercept: True,0.29,0.38,0.29,0.38,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.29,0.38,0.29,0.38,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.3,0.57,0.29,0.57,-,-
SVR,"C: 1, gamma: auto, kernel: linear",0.32,0.37,0.31,0.37,highest of its class,highest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",0.29,0.59,0.29,0.59,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.32,0.37,0.31,0.37,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.14,0.83,0.13,0.83,-,-
SVR,"C: 10, gamma: auto, kernel: linear",0.31,0.37,0.31,0.37,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.14,0.85,0.13,0.85,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.31,0.37,0.31,0.37,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.08,0.88,0.06,0.88,lowest of its class,lowest of its class
SVR,"C: 20, gamma: auto, kernel: linear",0.31,0.37,0.31,0.37,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.08,0.89,0.06,0.89,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.31,0.37,0.31,0.37,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",-0.15,1.0,-0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",0.04,0.03,0.02,0.03,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",0.15,0.21,0.14,0.21,highest of its class,highest of its class
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",-0.15,1.0,-0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",0.04,0.03,0.02,0.03,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",0.15,0.21,0.14,0.21,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 500, min_impurity_decrease: 0.9, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: random",-0.15,1.0,-0.17,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.0, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: random",0.04,0.03,0.02,0.03,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.1, splitter: best",0.15,0.21,0.14,0.21,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.5, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.5, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.9, splitter: random",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: squared_error, max_depth: 1000, min_impurity_decrease: 0.9, splitter: best",0.0,0.0,-0.02,0.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.0, splitter: random",-0.18,1.0,-0.21,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.0, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.1, splitter: random",-0.31,0.99,-0.34,0.99,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.1, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.5, splitter: random",-0.21,0.83,-0.22,0.83,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.5, splitter: best",-0.14,0.97,-0.15,0.97,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.9, splitter: random",0.02,0.6,-0.0,0.6,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, min_impurity_decrease: 0.9, splitter: best",-0.07,0.84,-0.08,0.84,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.0, splitter: random",-0.18,1.0,-0.21,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.0, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.1, splitter: random",-0.31,0.99,-0.34,0.99,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.1, splitter: best",-0.14,1.0,-0.15,1.0,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.5, splitter: random",-0.21,0.83,-0.22,0.83,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.5, splitter: best",-0.14,0.97,-0.15,0.97,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.9, splitter: random",0.02,0.6,-0.0,0.6,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, min_impurity_decrease: 0.9, splitter: best",-0.07,0.84,-0.08,0.84,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, min_impurity_decrease: 0.0, splitter: random",-0.18,1.0,-0.21,1.0,-,-
