model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
LinearRegression,fit_intercept: True,0.62,0.57,0.25,0.29,0.24,0.29,0.63,0.54,lowest of its class,lowest of its class,lowest of its class,lowest of its class
LinearRegression,fit_intercept: False,0.62,0.57,0.25,0.29,0.24,0.29,0.63,0.54,-,-,-,-
SVR,"C: 1, gamma: auto, kernel: rbf",0.55,0.44,0.36,0.51,0.36,0.51,0.54,0.38,-,highest of its class,highest of its class,-
SVR,"C: 1, gamma: auto, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,highest of its class,lowest of its class,lowest of its class,highest of its class
SVR,"C: 1, gamma: scale, kernel: rbf",0.55,0.44,0.36,0.51,0.36,0.51,0.54,0.38,-,-,-,-
SVR,"C: 1, gamma: scale, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,-,-,-,-
SVR,"C: 10, gamma: auto, kernel: rbf",0.54,0.35,0.36,0.65,0.36,0.65,0.53,0.27,lowest of its class,-,-,lowest of its class
SVR,"C: 10, gamma: auto, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: rbf",0.54,0.35,0.36,0.65,0.36,0.65,0.53,0.27,-,-,-,-
SVR,"C: 10, gamma: scale, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: rbf",0.55,0.31,0.34,0.7,0.34,0.7,0.56,0.23,-,-,-,-
SVR,"C: 20, gamma: auto, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: rbf",0.55,0.31,0.34,0.7,0.34,0.7,0.56,0.23,-,-,-,-
SVR,"C: 20, gamma: scale, kernel: linear",0.61,0.57,0.25,0.29,0.25,0.29,0.63,0.55,-,-,-,-
DecisionTreeRegressor,"max_depth: 1, splitter: random",0.7,0.66,0.03,0.04,0.02,0.04,0.82,0.73,highest of its class,lowest of its class,lowest of its class,highest of its class
DecisionTreeRegressor,"max_depth: 1, splitter: best",0.7,0.66,0.14,0.17,0.14,0.17,0.72,0.64,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: random",0.68,0.62,0.17,0.24,0.17,0.24,0.7,0.58,-,-,-,-
DecisionTreeRegressor,"max_depth: 5, splitter: best",0.62,0.54,0.26,0.39,0.26,0.39,0.62,0.47,-,highest of its class,highest of its class,lowest of its class
DecisionTreeRegressor,"max_depth: 10, splitter: random",0.63,0.46,0.22,0.52,0.21,0.52,0.66,0.37,-,-,-,-
DecisionTreeRegressor,"max_depth: 10, splitter: best",0.59,0.34,0.21,0.68,0.2,0.68,0.67,0.25,lowest of its class,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 1",0.7,0.66,0.13,0.17,0.13,0.17,0.73,0.64,highest of its class,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 10",0.7,0.66,0.14,0.18,0.14,0.18,0.72,0.63,-,-,-,-
RandomForestRegressor,"max_depth: 1, n_estimators: 100",0.69,0.66,0.15,0.18,0.14,0.18,0.72,0.63,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 1",0.64,0.58,0.24,0.34,0.23,0.34,0.65,0.5,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 10",0.6,0.53,0.31,0.43,0.3,0.43,0.58,0.44,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 100",0.6,0.52,0.31,0.43,0.31,0.43,0.58,0.43,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 1",0.63,0.41,0.08,0.51,0.08,0.51,0.77,0.38,-,lowest of its class,lowest of its class,highest of its class
RandomForestRegressor,"max_depth: 10, n_estimators: 10",0.55,0.36,0.39,0.72,0.38,0.72,0.52,0.21,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 100",0.54,0.36,0.41,0.74,0.4,0.74,0.5,0.2,lowest of its class,highest of its class,highest of its class,lowest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 1",0.46,0.0,0.23,1.0,0.22,1.0,0.65,0.0,-,lowest of its class,lowest of its class,highest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 5",0.57,0.41,0.33,0.58,0.32,0.58,0.57,0.32,-,-,-,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 10",0.58,0.48,0.33,0.48,0.32,0.48,0.57,0.4,highest of its class,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 1",0.46,0.0,0.23,1.0,0.22,1.0,0.65,0.0,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 5",0.45,0.0,0.44,1.0,0.43,1.0,0.48,0.0,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 10",0.44,0.0,0.46,1.0,0.45,1.0,0.46,0.0,lowest of its class,highest of its class,highest of its class,lowest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.1",0.63,0.57,0.21,0.28,0.21,0.28,0.66,0.55,highest of its class,lowest of its class,lowest of its class,highest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.5",0.63,0.57,0.21,0.28,0.21,0.28,0.66,0.55,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 1",0.63,0.57,0.21,0.28,0.21,0.28,0.66,0.55,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.1",0.63,0.57,0.24,0.31,0.23,0.31,0.64,0.53,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.5",0.63,0.57,0.24,0.32,0.23,0.32,0.64,0.52,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 1",0.61,0.56,0.25,0.32,0.24,0.32,0.63,0.52,lowest of its class,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.1",0.63,0.58,0.25,0.31,0.24,0.31,0.64,0.52,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.5",0.63,0.57,0.26,0.33,0.25,0.33,0.63,0.51,-,-,-,-
